Name,Address,Category,Website,Notes
Discovery Coffee (Cook St),664 Discovery St Victoria BC,Coffee Shop,discoverycoffee.com,
Discovery Coffee (Oak Bay),1920 Oak Bay Ave Victoria BC,Coffee Shop,discoverycoffee.com,
Discovery Coffee (James Bay),281 Menzies St Victoria BC,Coffee Shop,discoverycoffee.com,
Habit Coffee (Pandora),552 Pandora Ave Victoria BC,Coffee Shop,habitcoffee.com,
Habit Coffee (Atrium),808 Yates St Victoria BC,Coffee Shop,habitcoffee.com,
Union Pacific Coffee Co.,537 Herald St Victoria BC,Coffee Shop,unionpacificcoffee.ca,Top pick for remote workers
Moka House (Cook St),345 Cook St Victoria BC,Coffee Shop,mokahouse.com,On hold for outreach
Hey Happy Coffee,560 Johnson St #122 Victoria BC V8W 3C6,Coffee Shop,heyhappycoffee.com,No wifi noted
Saint Cecilia Coffee,535 Yates St Victoria BC V8W 2Z6,Coffee Shop,saint-cecilia.ca,
Shine Cafe,1548 Fort St Victoria BC,Coffee Shop,shinecafe.ca,On hold for outreach
Bean Around The World,533 Fisgard St Victoria BC,Coffee Shop,thebeanvictoria.com,Chinatown
Bows Coffee Roasters,483 Garbally Rd Victoria BC,Coffee Shop,bowscoffee.com,On hold for outreach
Caffe Fantastico,965 Kings Rd Victoria BC,Coffee Shop,caffefantastico.com,60-min wifi limit
Murchie's Tea & Coffee,1110 Government St Victoria BC,Coffee Shop,murchies.com,
Milano Coffee,817 Government St Victoria BC,Coffee Shop,milanocoffee.ca,On hold for outreach
